year,month,manufacturer,value
2024,4,济南大隆机车工业有限公司,3271.0
2024,4,宁波市龙嘉摩托车有限公司,225.0
2024,4,浙江森铃摩托车有限公司,1829.0
2024,4,重庆光宇摩托车制造有限公司,2938.0
2024,4,江苏林海动力机械集团有限公司,3679.0
2024,4,浙江天本车业有限公司,2803.0
2024,4,广州福羊科技有限公司,3616.0
2024,4,浙江华洋赛车股份有限公司,5250.0
2024,4,浙江吉铭实业有限公司,1895.0
2024,4,重庆新感觉摩托车有限公司,2181.0
2024,4,重庆嘉陵工业有限公司,1991.0
2024,4,福建省晋江市三力机车有限公司,243.0
2024,4,重庆劲扬摩托车工业有限公司,2801.0
2024,4,金翌车业有限公司,1264.0
2024,4,西藏新珠峰摩托车有限公司,955.0
2024,4,杭州土星动力科技有限公司,1204.0
2024,4,广州番禺豪剑摩托车工业有限公司,1014.0
2024,4,重庆万虎机电有限责任公司,715.0
2024,4,增城市东阳摩托车实业有限公司,165.0
2024,4,济南轻骑铃木摩托车有限公司,504.0
2024,4,金城集团有限公司,860.0
2024,4,江苏林芝山阳集团有限公司,462.0
2024,4,浙江日雅摩托车有限公司,181.0
2024,4,立峰集团有限公司,303.0
2024,4,慈溪金轮机车制造有限公司,0.0
2024,4,宁波东方凌云车辆制造有限公司,0.0
2024,4,广东大联统摩托车有限公司,0.0
2024,4,广州五羊摩托有限公司,0.0
2024,4,康超集团广州摩托车制造有限公司,0.0
2024,5,重庆隆鑫机车有限公司,134842.0
2024,5,江门市大长江集团有限公司,72498.0
2024,5,重庆银翔摩托车集团有限公司,52148.0
2024,5,广东大冶摩托车技术有限公司,69809.0
2024,5,广州豪进摩托车股份有限公司,48723.0
2024,5,宗申产业集团有限公司,53952.0
2024,5,江门市珠峰摩托车有限公司,44619.0
2024,5,新大洲本田摩托(苏州)有限公司,28910.0
2024,5,力帆实业（集团）股份有限公司,21911.0
2024,5,广州大运摩托车有限公司,23076.0
2024,5,广州天马集团天马摩托车有限公司,19440.0
2024,5,浙江钱江摩托股份有限公司,22994.0
2024,5,重庆润通智能装备有限公司,23210.0
2024,5,广州三雅摩托车有限公司,19429.0
2024,5,洛阳北方企业集团有限公司,23902.0
2024,5,厦门厦杏摩托有限公司,27166.0
2024,5,重庆航天巴山摩托车制造有限公司,20826.0
2024,5,广东星际机车科技有限公司,17019.0
2024,5,珠海珠江车业有限公司,13145.0
2024,5,重庆鑫源摩托车股份有限公司,16630.0
2024,5,五羊-本田摩托（广州）有限公司,13674.0
