year,month,indicator,scope,category,type,value
2016,12,生产,二轮,骑式式,车型,798925.0
2016,12,生产,总计,总计,汇总,1569458.0
2016,12,销售,三轮,125ml<排量≤150ml,排量,105133.0
2016,12,销售,三轮,150ml<排量≤250ml,排量,64818.0
2016,12,销售,三轮,250ml<排量≤400ml,排量,2022.0
2016,12,销售,三轮,400ml<排量≤750ml,排量,1556.0
2016,12,销售,三轮,50ml<排量≤100ml,排量,3983.0
2016,12,销售,三轮,排量>750ml,排量,1044.0
2016,12,销售,三轮,排量≤50ml,排量,0.0
2016,12,销售,三轮,电动摩托车,排量,1.0
2016,12,销售,三轮,三轮,汇总,178557.0
2016,12,销售,三轮,正三轮,车型,178441.0
2016,12,销售,三轮,边三轮,车型,116.0
2016,12,销售,二轮,100ml<排量≤110ml,排量,240249.0
2016,12,销售,二轮,110ml<排量≤125ml,排量,602682.0
2016,12,销售,二轮,125ml<排量≤150ml,排量,309555.0
2016,12,销售,二轮,150ml<排量≤250ml,排量,73464.0
2016,12,销售,二轮,250ml<排量≤400ml,排量,4351.0
